text	|||	Refined_location
@TammiCopsey seriously! I saw an fb friend post it was taking 1.5 hours to vote-maybe they need more polling places! took me less than 15min	|||	KS
@ABC7Kris I bet mostly in northern Virginia. I waited 3.5 hours today to vote.	|||	DC
@shell24_7 God damnit. No wonder I was the only one there. Took me an hour trying to cast my vote into the pole!	|||	OH
Took me about 3 hours to vote....	|||	FL
Hearing about all these people still waiting in line to vote makes me feel like a heel for bitching about the hour I waited. They're awesome	|||	FL
I find it awful that people had to wait more than 2 hours to vote..I waited 30 seconds and was done in 15. #smalltowns &lt;3	|||	WI
It took me over two hours to get to where I had to go to vote. Subways are not 100% just yet here in NYC. I made... http://t.co/8JPPwtIG	|||	NY
"RT @JeffreySundays: Just waited 3 hours in line to vote, turns out I got 10 gallons of gas instead."	|||	NY
"@REALStaceyDash hey I stood in line for 3 hours, finally got to vote for Romney!!! He won the electoral vote in my state too, South Carolina"	|||	SC
A four hour line just to vote ... they better be voting for Obama !	|||	CA
It took 2 hours to vote but now I'm going to treat myself to a celebratory burrito #treatyoself	|||	IA
waited over 2 hours to vote tonight and all it was only a piece of paper that went into a sealed envelope.. really new york?	|||	NY
#fact Stood in line today for two hours to vote. Romney better win this thing.	|||	NC
@SpikeLee My daughter waited for 3 1/2 hours in line to vote at her college.  It was her first time voting and at 9:00 she finally voted.!	|||	NY
I want the wizard of oz curtain machines back! This just made it hectic. Waited for two hours to vote. The voting was like half a minute.	|||	NY
So much attention being given to Ohio... Glad I waited my hour to vote... #CivicDuty....	|||	OH
@nycjenny only took me 2 hours to vote but I finally got to #rockthevote	|||	NY
"RT @General_Kamau: Timeline is covered wit people talkin bout fuck #Romney, I wonder how many of y'all waited in line 2 hours like I did ..."	|||	DC
@BarackObama I waited 4 hours today to vote you better win #election2012	|||	MT
Damn I stood in line for 2 hours to vote!	|||	NY
Much respect to those who stood in line to vote today in difficult situations! I know someone who waited 3 hours--2.5 out in the cold!	|||	IN
"Waited in line for 3 hours to vote. After 30 minutes, I seriously regretted the bran muffin and coffee I had for breakfast."	|||	NY
"it took me 5 minutes to vote, I cant imagine waiting 2 hours"	|||	IN
"Been up for school since 7am, had a hour to myself before I had to go to work, then waited 2 1/2 hours to vote! 
I needddd myyyyyy beddddd!"	|||	CT
My cousin waited in line 6 hours to vote. Shiiiiiiiiiiiiiit	|||	DE
Waited 4 1/2 hours to vote #tired	|||	FL
on top of that took me 4 hours to vote in city hall just now	|||	NY
"""I waited an hour in line just to vote in a bunch of imaginary Star Wars characters"" @mattwinkler17 everybody... #TheL"	|||	MD
"A classmate of mine waited 4 hours in line to vote and this is New York, not even a swing state. That's not right."	|||	NY
Done! Jeanette and I stood in line for 3 hours to vote today.	|||	VA
Just talked to an Iowa State sophomore who waited four hours to vote in her first presidential election. #election2012 #IA	|||	IA
@bpshow what a night Bill Press...thank all the vote staff at Sherwood Rec Center on 10thSt NE Capitol Hill...it took an hour and 20 to vote	|||	DC
@ThePresObama - my best friend stood in line for 5 hrs to vote for you. Her husband is on Hour No. 4 in #Miami right now. #forward	|||	KY
"RT @rickhirsch: In Miami-Dade, where some have waited 6+ hours to vote, nearly half of precincts are still out. #heraldvote. @miamiherald"	|||	FL
@SpikeLee Waited 3 hours to vote here. WORTH IT!	|||	FL
The ballot was printed in invisible ink. RT @Benny_Hardy: Why does it take people in Florida hours to vote? It took me 20 minutes.	|||	IL
@dee_carney My husband and son stood in line for five hours to early vote on Sunday. Glad they did.	|||	OH
"@sillygirlcarmen I woke up today and said, ""I'm going to go vote."" Then I waited in line for two hours, but I voted! :)"	|||	VA
"I waited 1m. RT @YourAnonNews: Some people have been standing in line to vote for 8-9 hours in Florida, says Lee Rowland of @BrennanCenter."	|||	TX
I waited in a two hour line to vote. Welcome MOM..	|||	OK
after working two 13 hour days in a row...i still waited two hours in line tonight...to vote for my boyfriend: #Obama xox VOTE Ya'll.	|||	OK
"Waited in line for 2 hours, to vote today . Even though it was a provisional, I'm keeping my spirits high! #Romney2012 http://t.co/63rgADZk"	|||	AZ
4 fucking hours i stood in line to vote.  Smh virginia was on some shit tonight	|||	VA
So happy for you @elizabethforma and was more than thrilled to have waited for an hour this morning in the cold to vote for you!	|||	MA
"@mayati Glad you're enjoying your first US election! This is my 2nd time to vote in one, which I celebrated with a 2.5 hour line."	|||	IN
I stood in line 2 hours to vote. i feel like an extra good american today.	|||	AZ
"@LLShots DC, too. My polling place only had one. It took me 3 hours, 45 minutes to vote today."	|||	DC
Stunned by reports of poll wait lines of 2+ hours. Literally took me about 10 minutes to vote in our district.  And now fixated on TV....	|||	MN
__Tomtastick: @SpikeLee Waited 3 hours to vote here. WORTH IT!_?#thankyouforstayinginline	|||	GA
"@tim_wilke Glad to hear it! Turnout here is ridiculous, Jess and I waited 2 hours to vote, others have waited even longer!"	|||	DC
"RT @WillJones_RR: Oh, you waited 3 hours to vote? I waited 6 hours for Halo 4. Outside. In the cold. With 200 other people."	|||	VA
Can't believe some people had to wait HOURS to vote today. I only waited like 10 minutes to vote early last Saturday	|||	FL
My small group leader waited 4 hours to vote. Smh. He was so tired. That's my bew.	|||	AL
Waited in line for two hours to vote. I really hope Obama wins!!! #Obama2012	|||	NM
My President Black My President Black.... Stood in Line For 2 Hours to Vote that Nigha BACK...	|||	FL
RT @alexteigen3: waited in line to vote for 3 hours for nothing	|||	FL
Did anyone else see the news footage of the 4 hour lines in NY to vote!? Never underestimate New Yorkers.. we always prevail in hard times!	|||	NY
I waited 4 hours with mommyhas2go @marlins132 @ERNIE00 to vote. My feet hurt!!!!________ @ Royalton On The Green http://t.co/lDZnpeLz	|||	FL
Would you be mad as shit if you waited 5 hours to vote.. and find out he won and you hadn't even voted??	|||	VA
"I stood in line close to two hours just to vote, it was worth it. Congratulations to President Obama with Re-Election."	|||	MI
WAITED IN LINE FOR 2 HOURS TO VOTE! WELL WORTH THE WAIT!!! ITS FOR OUR KIDS FUTURE!!! #OBAMA	|||	NY
I waited online for 2 hours and a half to vote in the cold. I don't believe in politics but at least he won. #Obama	|||	NY
RT @_MYASIA_: I stood in line for a hour. It feels good to know my vote made a difference #MyVoteCounted #TeamObama ____	|||	NY
I'm glad I stood in line for an hour for my vote to not really count since the results haven't been called in my state yet.	|||	VA
"OK, so I waited 3 hours to vote in South Florida and my vote is not even gonna matter. Great ;) #Election2012"	|||	FL
"Thank you to all who waited two hours to #vote, and endured criminal acts of intimidation. You are American heroes #obama"	|||	NY
This is an awesome feeling. I waited online for 2 hours to vote. And it was worth EVERY SECOND. #4MoreYears #Obama2012 ____________	|||	NY
I stood in line 3 long cold hours to vote &amp; I'm glad I did! I've voted 2ce in my lifetime for one person &amp; he's won both times! #Obama12____	|||	MD
"I was sooo proud to see my people out here in the freezing cold, 4 hour lines, and voter intimidation exercising their right to vote!!!!!"	|||	DC
OUR PEOPLE SHOWED UP!!!!!!! IM SO PROUD OF US IM SO PROUD THAT OUR PEOPLE STOOD UP AND WAITED FOR 7 PLUS HOURS TO VOTE	|||	FL
RT @nancylmack: This tweet made my day! thank u for your patience!!RT @chelseejanel: @nancylmack stood in line for 3 hours and 15 min to ...	|||	FL
Thankful I waited almost 6 hours to vote for Obama. :)	|||	NM
My dad stood in line for 2 hours and 20 minutes just to vote for Romney. Sucks to suck dad.	|||	DC
The highlight of my day: @pateanne waited in line for AN HOUR &amp; A HALF to vote. Proud to be an American. Proud to make an impact.	|||	AL
Waited more than an hour to vote and can finally say it was worth it.	|||	NY
"RT @danperezfilms: OK, so I waited 3 hours to vote in South Florida and my vote is not even gonna matter. Great ;) #Election2012"	|||	FL
@natalieroy I waited 4.5 hours to vote.	|||	FL
"RT @Kingofheartsdc: I was sooo proud to see my people out here in the freezing cold, 4 hour lines, and voter intimidation exercising the ..."	|||	CA
Waited in line 5 hours to vote tonight. Even though it was decided 30 min after I got done... so worth it. #pride	|||	MT
__laloca305: I waited 4 hours to vote but I finally did it #Obama2012 http://t.co/QNkvu2OC_?nice nail polish	|||	FL
"Waited in line an hour and a half to vote. Sooo worth it _?""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"""	|||	CA
"I do not mind the fact that I waited almost 2 hours to vote today, it was worth it. #Obama2012"	|||	VA
RT @Colorlines: 70-year-old Rowena Williams waited 3 hours to vote today. __ remember people dying to give people the right to vote._?ht ...	|||	RI
Took about an hour to vote tonight. Having to repeatedly spell and pronounce our last name added about 5 minutes to that wait. #vote	|||	MN
DC goes 91% for obams. @lbenn4 soooper glad she waited outside 3 hours to vote #everyvotecounts #jklolnotreally	|||	DC
@SirCharlesMB There's still madd people in line in Miami waiting to vote. My cousin waited 7 hours in line to vote.	|||	FL
@BzTaughtMe yeah some of us waited in line for an hour to vote! Also not me...	|||	CA
I'm so impressed &amp; proud of those people who stood in line in rio rancho for 4 HOURS to cast their vote. That's dedication! #decision2012	|||	NM
My mom said she stood in line 3 hours today to vote. Good to know she didn't do it for nothing.	|||	MI
